MWR,01.00
53910,106.2000,35.6633,+2845.2,TK001,16,83
Record,DateTime,10,SurTem(��),SurHum(%),SurPre(hPa),Tir(��),Rain,CloudBase(km),Vint(mm),Lqint(mm),0.000(km),0.025(km),0.050(km),0.075(km),0.100(km),0.125(km),0.150(km),0.175(km),0.200(km),0.225(km),0.250(km),0.275(km),0.300(km),0.325(km),0.350(km),0.375(km),0.400(km),0.425(km),0.450(km),0.475(km),0.500(km),0.550(km),0.600(km),0.650(km),0.700(km),0.750(km),0.800(km),0.850(km),0.900(km),0.950(km),1.000(km),1.050(km),1.100(km),1.150(km),1.200(km),1.250(km),1.300(km),1.350(km),1.400(km),1.450(km),1.500(km),1.550(km),1.600(km),1.650(km),1.700(km),1.750(km),1.800(km),1.850(km),1.900(km),1.950(km),2.000(km),2.250(km),2.500(km),2.750(km),3.000(km),3.250(km),3.500(km),3.750(km),4.000(km),4.250(km),4.500(km),4.750(km),5.000(km),5.250(km),5.500(km),5.750(km),6.000(km),6.250(km),6.500(km),6.750(km),7.000(km),7.250(km),7.500(km),7.750(km),8.000(km),8.250(km),8.500(km),8.750(km),9.000(km),9.250(km),9.500(km),9.750(km),10.000(km),QCflag
652,2026-03-03 20:42:00,14,18.10,99.20,991.70,21.00,0,0.30,66.89,2.88,0.125,0.256,0.371,0.182,0.594,0.353,0.761,0.455,0.662,0.755,1.059,0.957,0.963,1.146,1.145,1.139,1.358,1.718,1.645,1.986,1.752,2.275,2.185,2.923,2.960,2.909,3.262,3.440,3.574,3.230,3.908,3.833,3.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.165,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.010,0.011,0.012,0.016,0.021,0.023,0.022,0.020,0.019,0.017,0.019,0.027,0.024,0.023,0
653,2026-03-03 20:42:15,11,18.10,99.00,991.80,12.69,0,1.92,67.53,3.04,18.100,18.099,18.016,18.008,17.992,17.912,17.910,17.887,17.864,17.781,17.763,17.729,17.739,17.671,17.658,17.641,17.556,17.563,17.582,17.479,17.491,17.392,17.333,17.282,17.114,17.003,16.887,16.732,16.650,16.497,16.351,16.254,16.084,15.986,15.761,15.681,15.549,15.460,15.214,14.954,14.682,14.520,14.234,13.944,13.779,13.497,13.292,13.009,12.768,12.547,12.312,11.139,9.907,8.687,7.495,6.122,4.801,3.394,2.093,0.730,-0.586,-1.969,-3.373,-4.697,-5.999,-7.383,-8.950,-10.399,-11.928,-13.433,-14.907,-16.456,-17.995,-19.752,-21.504,-23.162,-24.933,-26.624,-28.343,-30.062,-31.787,-33.621,-35.464,0
654,2026-03-03 20:42:15,12,18.10,99.00,991.80,12.69,0,1.92,67.53,3.04,15.292,15.157,14.959,15.157,14.701,14.891,14.450,14.763,14.525,14.349,14.006,14.090,14.099,13.840,13.834,13.831,13.519,13.139,13.239,12.781,13.050,12.401,12.456,11.615,11.430,11.397,10.918,10.596,10.391,10.641,9.790,9.799,9.788,8.804,8.908,8.966,8.815,8.348,8.297,7.718,7.917,7.616,7.611,7.607,7.375,7.084,7.277,7.166,6.795,6.817,6.565,5.850,5.176,4.193,3.919,4.763,5.499,5.712,5.595,5.099,4.630,4.147,3.705,3.328,2.991,2.666,2.334,2.061,1.805,1.582,1.388,1.208,1.045,0.883,0.747,0.637,0.536,0.454,0.382,0.321,0.262,0.216,0.176,0
655,2026-03-03 20:42:15,13,18.10,99.00,991.80,12.69,0,1.92,67.53,3.04,99.000,98.133,97.330,98.662,95.784,97.488,94.616,96.791,95.366,94.673,92.509,93.249,93.258,91.915,91.948,92.019,90.399,87.822,88.392,85.855,87.604,83.744,84.411,78.952,78.475,78.775,75.992,74.434,73.356,75.815,70.369,70.847,71.499,64.695,66.349,67.111,66.509,63.326,63.886,60.376,62.973,61.180,62.217,63.299,61.990,60.590,63.037,63.168,60.800,61.836,60.430,57.943,55.420,48.523,48.972,65.099,81.981,93.522,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,96.368,96.016,95.663,95.311,92.697,92.047,90.702,0
656,2026-03-03 20:42:15,14,18.10,99.00,991.80,12.69,0,1.92,67.53,3.04,0.156,0.291,0.414,0.207,0.652,0.387,0.829,0.493,0.711,0.814,1.143,1.028,1.027,1.227,1.221,1.209,1.447,1.837,1.753,2.122,1.862,2.427,2.319,3.122,3.160,3.096,3.477,3.668,3.804,3.421,4.155,4.064,3.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.215,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.010,0.011,0.012,0.016,0.021,0.023,0.022,0.020,0.019,0.017,0.016,0.021,0.019,0.018,0
657,2026-03-03 20:42:30,11,18.30,99.00,991.70,17.00,0,0.78,68.31,2.17,18.300,18.292,18.196,18.185,18.164,18.077,18.077,18.044,18.015,17.927,17.909,17.869,17.871,17.799,17.780,17.759,17.669,17.676,17.689,17.576,17.587,17.479,17.412,17.355,17.178,17.066,16.953,16.795,16.710,16.555,16.406,16.309,16.139,16.042,15.811,15.731,15.593,15.506,15.260,15.004,14.731,14.570,14.282,13.994,13.832,13.548,13.346,13.064,12.823,12.601,12.366,11.198,9.974,8.759,7.566,6.195,4.881,3.471,2.174,0.811,-0.502,-1.889,-3.289,-4.612,-5.912,-7.297,-8.864,-10.309,-11.832,-13.339,-14.808,-16.359,-17.892,-19.650,-21.407,-23.068,-24.834,-26.523,-28.245,-29.967,-31.689,-33.530,-35.371,0
658,2026-03-03 20:42:30,12,18.30,99.00,991.70,17.00,0,0.78,68.31,2.17,15.475,15.175,14.923,15.198,14.580,14.873,14.280,14.715,14.417,14.194,13.731,13.871,13.891,13.557,13.567,13.581,13.177,12.662,12.798,12.201,12.592,11.732,11.859,10.718,10.523,10.547,9.945,9.564,9.342,9.763,8.664,8.740,8.798,7.532,7.746,7.890,7.743,7.180,7.193,6.496,6.819,6.455,6.507,6.550,6.279,5.948,6.260,6.164,5.723,5.785,5.497,4.773,4.105,3.039,2.846,4.102,5.294,5.744,5.626,5.127,4.660,4.174,3.730,3.351,3.012,2.686,2.351,2.077,1.820,1.595,1.400,1.218,1.055,0.891,0.753,0.642,0.541,0.458,0.386,0.324,0.272,0.225,0.185,0
659,2026-03-03 20:42:30,13,18.30,99.00,991.70,17.00,0,0.78,68.31,2.17,99.000,97.129,96.057,97.895,94.036,96.422,92.571,95.581,93.809,92.845,89.907,91.046,91.165,89.353,89.516,89.724,87.524,84.069,84.907,81.489,84.048,78.813,79.983,72.536,71.976,72.620,68.942,66.933,65.718,69.317,62.073,62.982,64.049,55.160,57.521,58.875,58.262,54.313,55.232,50.663,54.073,51.690,53.039,54.337,52.611,50.717,54.051,54.149,51.031,52.301,50.428,47.104,43.767,35.005,35.408,55.789,78.505,93.568,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,96.368,96.016,95.663,95.311,94.978,94.784,94.590,0
660,2026-03-03 20:42:30,14,18.30,99.00,991.70,17.00,0,0.78,68.31,2.17,0.158,0.452,0.618,0.329,0.932,0.556,1.155,0.686,0.959,1.103,1.554,1.375,1.357,1.628,1.602,1.568,1.893,2.419,2.293,2.794,2.409,3.179,2.992,4.091,4.131,4.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.457,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.011,0.011,0.012,0.016,0.022,0.023,0.022,0.020,0.019,0.017,0.016,0.014,0.012,0.011,0
661,2026-03-03 20:42:45,11,18.30,99.00,991.70,21.50,0,0.30,66.06,1.28,18.300,18.302,18.216,18.207,18.192,18.107,18.106,18.080,18.057,17.970,17.955,17.920,17.927,17.858,17.842,17.826,17.738,17.746,17.763,17.658,17.670,17.566,17.508,17.453,17.282,17.166,17.047,16.887,16.800,16.647,16.493,16.394,16.222,16.118,15.888,15.806,15.669,15.578,15.329,15.067,14.795,14.632,14.344,14.053,13.888,13.603,13.401,13.115,12.875,12.652,12.416,11.240,10.004,8.780,7.584,6.209,4.889,3.483,2.182,0.817,-0.497,-1.884,-3.286,-4.611,-5.913,-7.296,-8.864,-10.312,-11.838,-13.342,-14.815,-16.366,-17.901,-19.658,-21.413,-23.072,-24.842,-26.534,-28.252,-29.974,-31.700,-33.536,-35.380,0
662,2026-03-03 20:42:45,12,18.30,99.00,991.70,21.50,0,0.30,66.06,1.28,15.475,14.666,14.252,14.807,13.619,14.317,13.141,14.071,13.577,13.194,12.270,12.655,12.756,12.134,12.235,12.333,11.594,10.585,10.867,9.799,10.647,9.067,9.478,7.381,7.198,7.403,6.431,5.899,5.652,6.545,4.827,5.067,5.299,3.484,3.921,4.251,4.129,3.406,3.570,2.750,3.305,2.885,3.080,3.226,2.932,2.590,3.122,3.093,2.581,2.736,2.431,1.893,1.424,0.565,0.578,2.293,4.699,5.844,5.628,5.129,4.662,4.176,3.731,3.351,3.012,2.686,2.351,2.076,1.819,1.594,1.399,1.217,1.054,0.891,0.753,0.642,0.541,0.458,0.386,0.324,0.271,0.224,0.185,0
663,2026-03-03 20:42:45,13,18.30,99.00,991.70,21.50,0,0.30,66.06,1.28,99.000,93.815,91.630,95.250,87.690,92.645,85.040,91.202,88.122,86.079,80.123,82.811,83.433,79.695,80.428,81.157,76.693,69.982,71.774,65.130,70.719,60.593,63.559,49.665,48.927,50.672,44.332,41.054,39.545,46.215,34.400,36.331,38.388,25.396,28.980,31.577,30.931,25.656,27.297,21.365,26.103,23.014,25.010,26.669,24.479,22.011,26.861,27.083,22.939,24.659,22.235,18.630,15.153,6.495,7.181,31.161,69.640,95.117,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,96.368,96.016,95.663,95.311,94.978,94.784,94.590,0
664,2026-03-03 20:42:45,14,18.30,99.00,991.70,21.50,0,0.30,66.06,1.28,0.158,0.975,1.312,0.744,1.927,1.146,2.330,1.368,1.845,2.151,3.069,2.648,2.553,3.117,3.001,2.887,3.552,0.000,4.308,0.000,4.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.011,0.011,0.012,0.016,0.022,0.023,0.022,0.020,0.019,0.017,0.016,0.014,0.012,0.011,0
665,2026-03-03 20:43:00,11,18.30,99.00,991.60,34.39,0,0.30,67.49,1.75,18.300,18.302,18.216,18.207,18.192,18.107,18.106,18.080,18.057,17.970,17.955,17.920,17.927,17.858,17.842,17.826,17.738,17.746,17.763,17.658,17.670,17.566,17.508,17.453,17.282,17.166,17.047,16.887,16.800,16.647,16.493,16.394,16.222,16.118,15.888,15.806,15.669,15.578,15.329,15.067,14.795,14.632,14.344,14.053,13.888,13.603,13.401,13.115,12.875,12.652,12.416,11.240,10.004,8.780,7.584,6.209,4.889,3.483,2.182,0.817,-0.497,-1.884,-3.286,-4.611,-5.913,-7.296,-8.864,-10.312,-11.838,-13.342,-14.815,-16.366,-17.901,-19.658,-21.413,-23.072,-24.842,-26.534,-28.252,-29.974,-31.700,-33.536,-35.380,0
666,2026-03-03 20:43:00,12,18.30,99.00,991.60,34.39,0,0.30,67.49,1.75,15.475,14.776,14.407,14.909,13.851,14.464,13.425,14.249,13.804,13.464,12.652,12.988,13.070,12.526,12.607,12.692,12.037,11.146,11.401,10.443,11.195,9.775,10.142,8.235,8.049,8.222,7.314,6.805,6.562,7.388,5.747,5.971,6.183,4.396,4.822,5.139,5.018,4.293,4.435,3.576,4.110,3.664,3.834,3.961,3.644,3.278,3.788,3.734,3.203,3.342,3.020,2.387,1.844,0.891,0.861,2.550,4.750,5.789,5.628,5.129,4.662,4.176,3.731,3.351,3.012,2.686,2.351,2.076,1.819,1.594,1.399,1.217,1.054,0.891,0.753,0.642,0.541,0.458,0.386,0.324,0.271,0.224,0.185,0
667,2026-03-03 20:43:00,13,18.30,99.00,991.60,34.39,0,0.30,67.49,1.75,99.000,94.517,92.629,95.906,89.183,93.598,86.882,92.359,89.594,87.842,82.619,84.989,85.489,82.270,82.877,83.518,79.625,73.693,75.303,69.410,74.353,65.328,68.016,55.407,54.716,56.275,50.423,47.359,45.907,52.167,40.960,42.810,44.792,32.048,35.645,38.175,37.584,32.332,33.911,27.785,32.466,29.233,31.128,32.744,30.427,27.859,32.592,32.699,28.475,30.118,27.621,23.496,19.625,10.248,10.693,34.650,70.406,94.219,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,96.368,96.016,95.663,95.311,94.978,94.784,94.590,0
668,2026-03-03 20:43:00,14,18.30,99.00,991.60,34.39,0,0.30,67.49,1.75,0.158,0.864,1.156,0.642,1.693,0.997,2.043,1.188,1.616,1.879,2.683,2.313,2.237,2.721,2.626,2.525,3.105,4.011,3.770,0.000,3.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.007,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.011,0.011,0.012,0.016,0.022,0.023,0.022,0.020,0.019,0.017,0.016,0.014,0.012,0.011,0
669,2026-03-03 20:43:15,11,18.30,99.00,986.10,23.50,0,0.30,64.85,7.08,18.300,18.302,18.216,18.207,18.192,18.107,18.106,18.080,18.057,17.970,17.955,17.920,17.927,17.858,17.842,17.826,17.738,17.746,17.763,17.658,17.670,17.566,17.508,17.453,17.282,17.166,17.047,16.887,16.800,16.647,16.493,16.394,16.222,16.118,15.888,15.806,15.669,15.578,15.329,15.067,14.795,14.632,14.344,14.053,13.888,13.603,13.401,13.115,12.875,12.652,12.416,11.240,10.004,8.780,7.584,6.209,4.889,3.483,2.182,0.817,-0.497,-1.884,-3.286,-4.611,-5.913,-7.296,-8.864,-10.312,-11.838,-13.342,-14.815,-16.366,-17.901,-19.658,-21.413,-23.072,-24.842,-26.534,-28.252,-29.974,-31.700,-33.536,-35.380,0
670,2026-03-03 20:43:15,12,18.30,99.00,986.10,23.50,0,0.30,64.85,7.08,15.475,15.500,15.342,15.448,15.166,15.230,14.961,15.123,14.947,14.812,14.600,14.615,14.599,14.421,14.389,14.362,14.141,13.908,13.963,13.647,13.784,13.352,13.324,12.816,12.643,12.556,12.234,11.989,11.814,11.875,11.327,11.273,11.190,10.586,10.551,10.516,10.370,10.045,9.911,9.499,9.514,9.295,9.200,9.128,8.941,8.703,8.727,8.589,8.314,8.274,8.071,7.361,6.696,5.886,5.480,5.627,5.764,5.664,5.519,5.129,4.662,4.176,3.731,3.351,3.012,2.686,2.351,2.076,1.819,1.594,1.399,1.217,1.054,0.891,0.753,0.642,0.532,0.437,0.353,0.284,0.227,0.187,0.152,0
671,2026-03-03 20:43:15,13,18.30,99.00,986.10,23.50,0,0.30,64.85,7.08,99.000,99.152,98.638,99.378,97.649,98.555,96.823,98.020,97.016,96.635,95.337,95.636,95.492,94.719,94.592,94.507,93.543,91.956,92.223,90.703,91.550,89.229,89.353,86.235,85.942,85.939,84.336,83.445,82.652,83.848,80.725,80.825,81.066,77.171,77.990,78.116,77.670,75.659,75.788,73.798,75.149,74.157,74.697,75.451,74.659,73.956,75.088,75.213,73.905,74.572,73.810,72.452,71.253,67.720,68.088,76.467,85.436,92.187,98.049,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,94.789,91.564,87.597,83.716,79.438,78.907,77.624,0
672,2026-03-03 20:43:15,14,18.30,99.00,986.10,23.50,0,0.30,64.85,7.08,0.158,0.134,0.214,0.097,0.368,0.225,0.495,0.308,0.463,0.520,0.720,0.672,0.695,0.811,0.829,0.842,0.984,1.227,1.187,1.410,1.283,1.625,1.601,2.063,2.085,2.071,2.291,2.398,2.500,2.306,2.727,2.696,2.635,3.157,3.001,2.969,3.005,3.257,3.191,3.399,3.170,3.264,3.140,2.992,3.057,3.087,2.916,2.851,2.957,2.841,2.884,2.817,2.719,0.000,0.000,1.741,0.988,0.482,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.008,0.009,0.011,0.011,0.012,0.016,0.022,0.023,0.022,0.029,0.040,0.050,0.055,0.059,0.050,0.044,0
673,2026-03-03 20:43:30,11,18.10,98.50,981.30,4.50,0,3.55,61.12,3.50,18.100,18.115,18.057,18.054,18.043,17.973,17.965,17.955,17.939,17.863,17.846,17.823,17.837,17.777,17.769,17.761,17.683,17.690,17.711,17.623,17.639,17.544,17.502,17.451,17.294,17.174,17.044,16.886,16.795,16.647,16.489,16.380,16.208,16.095,15.873,15.787,15.655,15.556,15.301,15.033,14.765,14.595,14.310,14.019,13.845,13.562,13.354,13.066,12.827,12.600,12.365,11.175,9.917,8.685,7.485,6.101,4.767,3.366,2.048,0.685,-0.644,-2.028,-3.438,-4.770,-6.075,-7.461,-9.029,-10.491,-12.024,-13.526,-15.014,-16.563,-18.103,-19.856,-21.611,-23.264,-25.038,-26.734,-28.445,-30.163,-31.897,-33.717,-35.562,0
674,2026-03-03 20:43:30,12,18.10,98.50,981.30,4.50,0,3.55,61.12,3.50,15.215,15.398,15.345,15.365,15.302,15.266,15.204,15.235,15.163,15.103,15.049,15.021,15.024,14.959,14.934,14.927,14.831,14.789,14.823,14.701,14.735,14.601,14.564,14.462,14.320,14.199,14.050,13.887,13.783,13.675,13.468,13.368,13.229,13.052,12.900,12.816,12.704,12.569,12.363,12.081,11.887,11.710,11.490,11.283,11.122,10.900,10.737,10.528,10.330,10.168,9.988,9.132,8.294,7.544,6.891,6.392,5.963,5.526,5.138,4.763,4.385,3.986,3.614,3.288,2.972,2.649,2.300,1.984,1.694,1.442,1.223,1.028,0.866,0.720,0.592,0.492,0.404,0.330,0.270,0.220,0.177,0.146,0.118,0
675,2026-03-03 20:43:30,13,18.10,98.50,981.30,4.50,0,3.55,61.12,3.50,98.500,99.598,99.596,99.744,99.396,99.583,99.223,99.484,99.104,99.159,98.909,98.861,98.796,98.723,98.605,98.606,98.427,98.105,98.208,97.909,98.046,97.710,97.704,97.317,97.266,97.136,96.877,96.659,96.463,96.560,96.007,95.921,95.917,95.271,95.440,95.317,95.233,94.793,94.693,94.057,94.068,93.635,93.484,93.461,93.112,92.862,92.653,92.477,92.091,91.933,91.634,90.254,88.745,87.320,86.183,87.470,89.097,90.648,92.123,93.718,95.144,96.566,98.054,99.407,100.000,99.979,98.984,96.681,94.135,91.300,88.239,85.103,82.371,80.345,77.703,75.425,73.342,70.673,68.194,66.040,63.261,62.656,61.496,0
676,2026-03-03 20:43:30,14,18.10,98.50,981.30,4.50,0,3.55,61.12,3.50,0.234,0.063,0.063,0.040,0.094,0.064,0.120,0.080,0.138,0.129,0.167,0.175,0.185,0.195,0.213,0.213,0.239,0.288,0.273,0.317,0.296,0.345,0.345,0.402,0.406,0.422,0.457,0.484,0.510,0.491,0.565,0.573,0.568,0.653,0.621,0.635,0.641,0.696,0.698,0.769,0.755,0.802,0.807,0.795,0.829,0.844,0.858,0.863,0.893,0.899,0.918,0.993,1.059,1.102,1.111,0.920,0.733,0.573,0.441,0.321,0.225,0.142,0.072,0.020,0.000,0.001,0.024,0.068,0.106,0.138,0.163,0.180,0.186,0.176,0.170,0.160,0.147,0.137,0.000,0.000,0.000,0.000,0.000,0
677,2026-03-03 20:43:45,11,18.10,98.00,979.70,29.50,0,0.30,57.01,3.43,18.100,18.087,18.014,18.007,17.975,17.903,17.896,17.871,17.839,17.761,17.735,17.699,17.698,17.634,17.617,17.599,17.516,17.518,17.524,17.422,17.438,17.328,17.266,17.206,17.036,16.921,16.800,16.647,16.556,16.404,16.256,16.146,15.980,15.879,15.655,15.569,15.434,15.340,15.095,14.839,14.569,14.405,14.117,13.835,13.665,13.390,13.177,12.902,12.663,12.434,12.199,11.030,9.796,8.587,7.396,6.018,4.691,3.281,1.966,0.605,-0.729,-2.114,-3.523,-4.851,-6.157,-7.549,-9.118,-10.578,-12.105,-13.617,-15.102,-16.650,-18.187,-19.937,-21.698,-23.354,-25.116,-26.811,-28.528,-30.244,-31.970,-33.797,-35.632,0
678,2026-03-03 20:43:45,12,18.10,98.00,979.70,29.50,0,0.30,57.01,3.43,15.138,15.250,15.201,15.191,15.160,15.100,15.086,15.063,14.998,14.951,14.926,14.873,14.862,14.819,14.788,14.772,14.694,14.690,14.702,14.607,14.616,14.530,14.471,14.441,14.288,14.171,14.070,13.924,13.841,13.705,13.571,13.468,13.332,13.232,13.066,12.983,12.875,12.779,12.577,12.330,12.106,11.944,11.705,11.481,11.330,11.118,10.930,10.718,10.538,10.352,10.177,9.320,8.471,7.746,7.060,6.454,5.916,5.399,4.940,4.516,4.103,3.691,3.309,2.986,2.702,2.403,2.046,1.755,1.495,1.269,1.075,0.903,0.761,0.633,0.521,0.435,0.358,0.294,0.241,0.197,0.160,0.130,0.105,0
679,2026-03-03 20:43:45,13,18.10,98.00,979.70,29.50,0,0.30,57.01,3.43,98.000,98.805,98.911,98.891,98.878,98.906,98.854,98.852,98.615,98.762,98.751,98.610,98.545,98.634,98.527,98.528,98.491,98.457,98.500,98.464,98.431,98.497,98.459,98.608,98.561,98.431,98.445,98.318,98.266,98.195,98.109,98.009,98.003,97.854,97.950,97.837,97.823,97.650,97.543,97.136,96.952,96.623,96.372,96.177,95.911,95.727,95.348,95.109,94.908,94.570,94.343,92.953,91.334,90.229,88.801,88.801,88.849,89.079,89.055,89.335,89.642,90.028,90.399,90.860,91.528,91.355,88.740,86.146,83.682,81.006,78.212,75.405,72.970,71.203,68.978,67.260,65.428,63.274,61.324,59.711,57.525,56.548,55.351,0
680,2026-03-03 20:43:45,14,18.10,98.00,979.70,29.50,0,0.30,57.01,3.43,0.311,0.186,0.169,0.172,0.173,0.168,0.176,0.176,0.212,0.189,0.190,0.211,0.221,0.207,0.223,0.223,0.227,0.232,0.226,0.230,0.235,0.224,0.228,0.206,0.210,0.228,0.224,0.240,0.246,0.254,0.264,0.276,0.274,0.292,0.276,0.289,0.289,0.310,0.319,0.366,0.383,0.421,0.444,0.460,0.487,0.500,0.537,0.555,0.569,0.599,0.614,0.711,0.809,0.844,0.895,0.818,0.746,0.665,0.610,0.541,0.476,0.410,0.353,0.301,0.251,0.228,0.260,0.283,0.292,0.298,0.300,0.295,0.282,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
681,2026-03-03 20:44:00,11,18.10,97.70,980.20,22.00,0,0.30,55.50,3.94,18.100,18.083,18.012,18.005,17.968,17.899,17.891,17.865,17.829,17.753,17.724,17.687,17.683,17.619,17.602,17.583,17.501,17.501,17.503,17.401,17.417,17.304,17.241,17.178,17.008,16.891,16.769,16.616,16.523,16.371,16.222,16.109,15.943,15.842,15.617,15.529,15.393,15.298,15.054,14.799,14.529,14.365,14.077,13.796,13.626,13.353,13.138,12.865,12.626,12.396,12.160,10.993,9.759,8.554,7.363,5.984,4.655,3.243,1.925,0.564,-0.775,-2.161,-3.571,-4.901,-6.208,-7.603,-9.173,-10.636,-12.162,-13.678,-15.165,-16.713,-18.250,-19.998,-21.761,-23.417,-25.177,-26.872,-28.589,-30.304,-32.030,-33.854,-35.688,0
682,2026-03-03 20:44:00,12,18.10,97.70,980.20,22.00,0,0.30,55.50,3.94,15.091,15.169,15.116,15.100,15.066,14.999,14.983,14.951,14.880,14.831,14.804,14.746,14.726,14.680,14.645,14.619,14.542,14.535,14.537,14.442,14.442,14.350,14.279,14.243,14.087,13.966,13.864,13.719,13.630,13.489,13.359,13.248,13.112,13.012,12.842,12.752,12.642,12.546,12.343,12.110,11.889,11.737,11.504,11.288,11.144,10.941,10.754,10.553,10.380,10.202,10.033,9.210,8.397,7.703,7.042,6.419,5.868,5.341,4.875,4.445,4.027,3.613,3.232,2.911,2.630,2.334,1.986,1.701,1.447,1.228,1.039,0.872,0.734,0.609,0.501,0.417,0.343,0.281,0.230,0.188,0.152,0.124,0.100,0
683,2026-03-03 20:44:00,13,18.10,97.70,980.20,22.00,0,0.30,55.50,3.94,97.700,98.303,98.374,98.307,98.301,98.272,98.214,98.158,97.898,98.016,98.011,97.842,97.731,97.797,97.669,97.604,97.568,97.518,97.520,97.474,97.379,97.413,97.298,97.417,97.340,97.178,97.180,97.050,96.962,96.843,96.778,96.629,96.600,96.445,96.494,96.328,96.289,96.107,95.971,95.633,95.446,95.179,94.950,94.784,94.563,94.414,94.045,93.853,93.705,93.417,93.230,92.070,90.749,89.916,88.761,88.518,88.341,88.336,88.138,88.186,88.291,88.469,88.645,88.948,89.455,89.142,86.529,83.913,81.407,78.777,75.978,73.178,70.724,68.928,66.691,64.938,63.080,60.896,58.960,57.273,55.080,54.099,52.900,0
684,2026-03-03 20:44:00,14,18.10,97.70,980.20,22.00,0,0.30,55.50,3.94,0.358,0.264,0.252,0.262,0.262,0.266,0.275,0.283,0.322,0.303,0.303,0.328,0.345,0.333,0.352,0.362,0.365,0.373,0.373,0.377,0.392,0.384,0.400,0.381,0.388,0.409,0.405,0.420,0.430,0.443,0.448,0.466,0.465,0.483,0.470,0.490,0.491,0.512,0.522,0.557,0.572,0.599,0.616,0.626,0.645,0.652,0.686,0.696,0.702,0.724,0.734,0.798,0.861,0.869,0.897,0.837,0.778,0.708,0.659,0.598,0.536,0.473,0.415,0.363,0.311,0.285,0.310,0.327,0.331,0.331,0.329,0.320,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
685,2026-03-03 20:44:15,11,18.00,97.50,980.10,2.20,0,3.93,55.09,4.04,18.000,17.984,17.920,17.915,17.877,17.813,17.803,17.781,17.746,17.674,17.643,17.609,17.606,17.546,17.530,17.513,17.433,17.433,17.436,17.337,17.356,17.245,17.184,17.124,16.956,16.839,16.715,16.564,16.470,16.318,16.170,16.054,15.889,15.787,15.565,15.476,15.341,15.245,15.000,14.745,14.475,14.310,14.023,13.743,13.571,13.300,13.082,12.810,12.571,12.340,12.104,10.936,9.699,8.493,7.303,5.922,4.588,3.177,1.854,0.493,-0.851,-2.236,-3.650,-4.981,-6.290,-7.686,-9.258,-10.724,-12.253,-13.770,-15.261,-16.808,-18.348,-20.095,-21.857,-23.511,-25.271,-26.968,-28.682,-30.394,-32.122,-33.941,-35.774,0
