MWR,01.00
53910,106.2000,35.6633,+2845.2,TK001,16,83
Record,DateTime,10,SurTem(��),SurHum(%),SurPre(hPa),Tir(��),Rain,CloudBase(km),Vint(mm),Lqint(mm),0.000(km),0.025(km),0.050(km),0.075(km),0.100(km),0.125(km),0.150(km),0.175(km),0.200(km),0.225(km),0.250(km),0.275(km),0.300(km),0.325(km),0.350(km),0.375(km),0.400(km),0.425(km),0.450(km),0.475(km),0.500(km),0.550(km),0.600(km),0.650(km),0.700(km),0.750(km),0.800(km),0.850(km),0.900(km),0.950(km),1.000(km),1.050(km),1.100(km),1.150(km),1.200(km),1.250(km),1.300(km),1.350(km),1.400(km),1.450(km),1.500(km),1.550(km),1.600(km),1.650(km),1.700(km),1.750(km),1.800(km),1.850(km),1.900(km),1.950(km),2.000(km),2.250(km),2.500(km),2.750(km),3.000(km),3.250(km),3.500(km),3.750(km),4.000(km),4.250(km),4.500(km),4.750(km),5.000(km),5.250(km),5.500(km),5.750(km),6.000(km),6.250(km),6.500(km),6.750(km),7.000(km),7.250(km),7.500(km),7.750(km),8.000(km),8.250(km),8.500(km),8.750(km),9.000(km),9.250(km),9.500(km),9.750(km),10.000(km),QCflag
515,2026-03-03 20:33:30,13,17.50,100.00,979.80,33.10,1,0.30,51.58,1.24,100.000,91.326,87.931,92.547,82.509,88.922,79.043,86.890,83.055,80.125,72.301,76.057,76.846,71.726,72.829,73.567,67.742,59.445,61.283,53.187,60.051,47.467,50.980,35.182,35.172,37.751,31.303,28.369,27.112,34.460,22.706,25.003,27.450,15.128,18.660,21.342,21.015,16.171,17.729,12.692,17.366,14.989,17.390,19.398,17.650,15.633,20.640,21.587,17.537,20.313,18.128,16.888,16.427,8.687,11.561,34.209,69.600,93.365,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,96.720,96.368,96.016,95.663,89.579,80.390,80.485,78.287,0
516,2026-03-03 20:33:30,14,17.50,100.00,979.80,33.10,1,0.30,51.58,1.24,0.000,1.302,1.803,1.113,2.611,1.646,3.114,1.948,2.514,2.935,4.086,3.526,3.416,4.154,3.991,3.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.007,0.009,0.010,0.011,0.011,0.016,0.021,0.022,0.021,0.020,0.019,0.017,0.035,0.055,0.045,0.042,0
517,2026-03-03 20:33:45,11,17.60,100.00,979.50,30.50,1,0.30,37.72,0.63,17.600,17.597,17.505,17.503,17.497,17.416,17.416,17.407,17.388,17.307,17.289,17.261,17.285,17.217,17.211,17.192,17.112,17.120,17.158,17.056,17.064,16.984,16.922,16.893,16.731,16.635,16.531,16.388,16.327,16.171,16.048,15.973,15.806,15.723,15.513,15.440,15.325,15.247,15.010,14.748,14.474,14.319,14.039,13.747,13.588,13.305,13.104,12.818,12.577,12.367,12.133,10.969,9.756,8.536,7.356,5.993,4.674,3.269,1.986,0.622,-0.679,-2.054,-3.460,-4.775,-6.074,-7.452,-9.021,-10.455,-11.995,-13.498,-14.960,-16.506,-18.061,-19.825,-21.558,-23.217,-24.996,-26.682,-28.405,-30.117,-31.836,-33.678,-35.521,0
518,2026-03-03 20:33:45,12,17.60,100.00,979.50,30.50,1,0.30,37.72,0.63,14.994,12.797,11.596,12.412,10.070,11.311,8.923,10.455,9.449,8.561,6.899,7.440,7.682,6.270,6.604,6.365,5.221,3.897,3.945,2.751,3.554,1.903,2.051,0.534,0.551,0.674,0.281,0.279,0.278,0.275,0.273,0.272,0.269,0.268,0.264,0.263,0.262,0.260,0.257,0.252,0.248,0.246,0.242,0.237,0.235,0.231,0.228,0.224,0.221,0.218,0.215,0.898,1.845,1.852,3.262,4.733,6.114,6.056,5.554,5.061,4.595,4.119,3.679,3.307,2.972,2.651,2.320,2.051,1.795,1.573,1.381,1.202,1.039,0.877,0.743,0.551,0.387,0.237,0.117,0.041,0.007,0.007,0.004,0
519,2026-03-03 20:33:45,13,17.60,100.00,979.50,30.50,1,0.30,37.72,0.63,100.000,85.364,77.781,83.260,67.575,76.271,60.165,70.534,63.825,58.103,46.875,50.635,52.210,42.782,45.077,43.502,35.853,26.749,27.016,18.957,24.474,13.168,14.249,3.713,3.868,4.762,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,8.987,19.948,21.641,41.137,65.229,91.924,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.979,99.784,99.638,99.492,99.346,99.199,99.053,98.470,97.637,97.072,84.098,70.013,50.501,29.448,12.127,2.462,2.938,2.000,0
520,2026-03-03 20:33:45,14,17.60,100.00,979.50,30.50,1,0.30,37.72,0.63,0.000,2.211,3.338,2.515,0.000,3.546,0.000,4.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.007,0.009,0.010,0.011,0.012,0.016,0.021,0.022,0.104,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0
521,2026-03-03 20:34:00,11,17.60,100.00,979.60,12.69,1,1.88,49.47,4.51,17.600,17.599,17.508,17.506,17.501,17.421,17.421,17.413,17.395,17.314,17.297,17.269,17.294,17.227,17.222,17.203,17.124,17.132,17.170,17.070,17.078,16.998,16.938,16.909,16.748,16.652,16.547,16.404,16.343,16.186,16.063,15.987,15.820,15.736,15.526,15.453,15.338,15.259,15.021,14.758,14.485,14.330,14.049,13.757,13.598,13.315,13.114,12.827,12.585,12.376,12.142,10.976,9.761,8.539,7.359,5.995,4.676,3.271,1.987,0.623,-0.678,-2.054,-3.460,-4.775,-6.074,-7.453,-9.021,-10.456,-11.996,-13.498,-14.962,-16.508,-18.063,-19.827,-21.560,-23.218,-24.997,-26.684,-28.406,-30.118,-31.838,-33.679,-35.522,0
522,2026-03-03 20:34:00,12,17.60,100.00,979.60,12.69,1,1.88,49.47,4.51,14.994,14.992,14.912,14.910,14.906,14.834,14.835,14.827,14.811,14.740,14.724,14.652,14.638,14.599,14.547,14.523,14.422,14.408,14.437,14.340,14.322,14.243,14.145,14.159,14.004,13.888,13.802,13.653,13.583,13.430,13.298,13.226,13.070,12.980,12.826,12.738,12.632,12.520,12.320,12.065,11.826,11.665,11.419,11.196,11.036,10.833,10.637,10.406,10.243,10.051,9.879,9.020,8.179,7.501,6.827,6.231,5.681,5.153,4.693,4.265,3.866,3.456,3.073,2.757,2.479,2.199,1.864,1.602,1.370,1.168,0.996,0.840,0.709,0.590,0.490,0.412,0.338,0.281,0.231,0.191,0.157,0.127,0.104,0
523,2026-03-03 20:34:00,13,17.60,100.00,979.60,12.69,1,1.88,49.47,4.51,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.669,99.427,99.560,99.236,99.184,98.968,98.822,98.793,98.718,98.549,98.471,98.149,98.417,98.284,98.037,98.042,97.827,97.686,97.498,97.259,97.182,97.006,96.829,96.907,96.671,96.532,96.140,95.985,95.513,95.198,94.796,94.412,94.241,93.814,93.709,93.158,92.776,92.697,92.148,91.906,90.270,88.388,87.638,86.079,85.867,85.401,85.081,84.489,84.272,84.132,83.897,83.519,83.391,83.399,82.929,80.185,77.831,75.940,73.794,71.524,69.265,67.208,65.653,64.090,62.938,61.204,59.747,58.151,56.958,55.573,54.485,54.048,0
524,2026-03-03 20:34:00,14,17.60,100.00,979.60,12.69,1,1.88,49.47,4.51,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.085,0.065,0.113,0.120,0.152,0.173,0.178,0.188,0.213,0.223,0.269,0.230,0.246,0.280,0.278,0.306,0.324,0.347,0.378,0.387,0.407,0.428,0.413,0.442,0.457,0.507,0.519,0.571,0.601,0.645,0.681,0.689,0.733,0.733,0.787,0.816,0.813,0.862,0.876,0.979,1.081,1.064,1.110,1.031,0.976,0.908,0.865,0.799,0.732,0.666,0.608,0.551,0.495,0.454,0.462,0.457,0.435,0.416,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
